00163;9529;00012.000;St                  ;ST ;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00164;14025;00008.000;St                  ;ST ;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00165;20453;00012.000;St                  ;ST ;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00166;20442;00010.000;St                  ;ST ;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00167;20430;00008.000;St                  ;ST ;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00168;10581;00008.000;St                  ;ST ;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00169;10581;00004.000;St                  ;ST ;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00170;10528;00010.000;St                  ;ST ;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00171;10632;00008.000;St                  ;ST ;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00172;20411;00014.000;St                  ;ST ;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00173;9684;00008.000;St                  ;ST ;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00174;10475;00008.000;St                  ;ST ;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00175;10489;00012.000;St                  ;ST ;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00176;10489;00012.000;St                  ;ST ;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00177;9397;00014.000;St                  ;ST ;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00178;9397;00014.000;St                  ;ST ;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00179;9668;00012.000;St                  ;ST ;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00180;13505;00008.000;St                  ;ST ;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00181;20410;00014.000;St                  ;ST ;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00182;10549;00010.000;St                  ;ST ;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00183;10628;00012.000;St                  ;ST ;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00184;10628;00012.000;St                  ;ST ;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00185;10585;00005.000;St                  ;ST ;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00186;14023;00008.000;St                  ;ST ;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00187;10630;00008.000;St                  ;ST ;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00188;14023;00003.000;St                  ;ST ;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00189;14022;00006.000;St                  ;ST ;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00190;20441;00009.000;St                  ;ST ;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00191;10643;00008.000;St                  ;ST ;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00192;10643;00008.000;St                  ;ST ;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00193;10585;00008.000;St                  ;ST ;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00194;10475;00008.000;St                  ;ST ;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00195;10549;00004.000;St                  ;ST ;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00196;10549;00010.000;St                  ;ST ;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00197;10585;00008.000;St                  ;ST ;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00198;10475;00008.000;St                  ;ST ;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00199;10475;00008.000;St                  ;ST ;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00200;10582;00008.000;St                  ;ST ;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00201;10496;00012.000;St                  ;ST ;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
00202;5816;00012.000;St                  ;ST ;S. Steinemann;C. Erhard ;Regal 4-6 Duni\Spender        ;43001 ;
